"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"102",0,0.15,0.658551260767436,2.59926281090421e-12,409.193812176866,0.658551260766779,0.911448939499435,6.74090872154252e-13,3.59743496613789e-12
"103",0.08,0.15,0.658552731002647,3.61167877564338e-09,409.193441310509,0.658552730114134,0.904563931881085,1.00948068106708e-09,4.96086979855574e-09
"104",0.16,0.15,0.658554654181988,7.28242533289579e-06,409.19471022645,0.658552918180886,0.896935190845034,2.19819009488047e-06,9.9184836281949e-06
"105",0.24,0.15,0.662225240784288,0.00873109520893332,410.445759110592,0.660202928334939,0.891824781144423,0.00279620696723543,0.0117582456758009
"106",0.32,0.15,0.696053897517724,0.0922104535708113,423.622892951863,0.674267622966926,0.910534485422681,0.027141837354541,0.120623989309036
"107",0.4,0.15,0.727823925789458,0.176063748248629,438.717827956958,0.685326954841105,0.926699590440912,0.0474161621022922,0.224172629687216
"108",0.48,0.15,0.754293175440624,0.251296140150396,453.526995709372,0.692373102179865,0.93877590495949,0.062616814960153,0.312757385408805
"109",0.56,0.15,0.776049099379055,0.317568286697606,467.417948354144,0.696119750056485,0.947811599245067,0.0740045294181868,0.387855492552225
"110",0.64,0.15,0.793884510685303,0.375323990060396,480.123730381626,0.69729348367014,0.954647208913283,0.0825847226117629,0.451327610914159
"111",0.72,0.15,0.808568286988108,0.425432960624904,491.598685160132,0.696514461675981,0.959902200010912,0.0891123288587149,0.505058189187931
"112",0.8,0.15,0.820752453496464,0.468897506260884,501.907001018897,0.694269840065445,0.964014532118993,0.0941351582221095,0.550743416220316
"113",0.88,0.15,0.830957626425781,0.50668815219909,511.157079446816,0.690928700973678,0.967289860879156,0.0980454758110629,0.58981865821235
"114",0.96,0.15,0.839588799885804,0.539671981019955,519.46783695202,0.68676732116672,0.969942071929689,0.101123996176777,0.623460626802182
"115",1.04,0.15,0.84695830875795,0.568592672237436,526.953224355016,0.681992614326956,0.972122442736187,0.103572919584466,0.652619723712185
"116",1.12,0.15,0.85330715650287,0.594074934215791,533.716134846853,0.676760609669723,0.973939528800856,0.105539386545242,0.678059544084675
"117",1.2,0.15,0.858822308267996,0.616638415268537,539.846825570576,0.671190114643055,0.975472476849162,0.107131748795735,0.70039377933187
"118",1.28,0.15,0.863649948678604,0.636713864868854,545.423352149318,0.665372563886911,0.97677992554776,0.108430786814878,0.720117360596601
"119",1.36,0.15,0.867905406173935,0.654658419452558,550.512790565036,0.659379069106618,0.977905999901599,0.109497465148719,0.73763153416797
